task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine,decision_source
1,EUROPE,,5.0,10.0,50.0,0.1,2,1,1,SLM,model
2,USA,,10.0,15.0,50.0,0.1,15,1,1,SLM,model
3,EUROPE,restricao_residencia_dados_ue,30.0,35.0,50.0,0.1,2,1,1,SLM,model
4,USA,,65.0,70.0,50.0,0.1,15,1,1,SLM,model
5,EUROPE,,90.0,95.0,50.0,0.1,2,1,1,SLM,model
6,USA,,115.0,120.0,50.0,0.1,15,1,1,SLM,model
7,BRAZIL,,125.0,130.0,50.0,0.1,1,1,1,SLM,model
8,EUROPE,,130.0,135.0,50.0,0.1,2,1,1,SLM,model
9,EUROPE,,185.0,190.0,50.0,0.1,2,1,1,SLM,model
10,EUROPE,,210.0,215.0,50.0,0.1,2,1,1,SLM,model
11,EUROPE,,220.0,225.0,50.0,0.1,2,1,1,SLM,model
12,EUROPE,,270.0,275.0,50.0,0.1,2,1,1,SLM,model
13,EUROPE,,310.0,315.0,50.0,0.1,2,1,1,SLM,model
14,EUROPE,,325.0,330.0,50.0,0.1,2,1,1,SLM,model
15,EUROPE,,350.0,355.0,50.0,0.1,2,1,1,SLM,model
16,EUROPE,,365.0,370.0,50.0,0.1,2,1,1,SLM,model
17,BRAZIL,,405.0,410.0,50.0,0.1,1,1,1,SLM,model
18,USA,,460.0,465.0,50.0,0.1,15,1,1,SLM,model
19,EUROPE,,470.0,475.0,50.0,0.1,2,1,1,SLM,model
20,USA,,495.0,500.0,50.0,0.1,15,1,1,SLM,model
21,EUROPE,,505.0,510.0,50.0,0.1,2,1,1,SLM,model
22,BRAZIL,,530.0,535.0,50.0,0.1,1,1,1,SLM,model
23,BRAZIL,,535.0,540.0,50.0,0.1,1,1,1,SLM,model
24,EUROPE,,545.0,550.0,50.0,0.1,2,1,1,SLM,model
25,EUROPE,,555.0,560.0,50.0,0.1,2,1,1,SLM,model
26,USA,,570.0,575.0,50.0,0.1,15,1,1,SLM,model
27,BRAZIL,,575.0,580.0,50.0,0.1,1,1,1,SLM,model
28,USA,,615.0,620.0,50.0,0.1,15,1,1,SLM,model
29,EUROPE,,625.0,630.0,50.0,0.1,2,1,1,SLM,model
30,USA,,665.0,670.0,50.0,0.1,15,1,1,SLM,model
31,USA,,685.0,690.0,50.0,0.1,15,1,1,SLM,model
32,EUROPE,,735.0,740.0,50.0,0.1,2,1,1,SLM,model
33,EUROPE,,740.0,745.0,50.0,0.1,2,1,1,SLM,model
34,USA,,785.0,790.0,50.0,0.1,15,1,1,SLM,model
35,EUROPE,,800.0,805.0,50.0,0.1,2,1,1,SLM,model
36,USA,restricao_lgpd_brasil,830.0,835.0,50.0,0.1,15,1,0,SLM,model
37,USA,,845.0,850.0,50.0,0.1,15,1,1,SLM,model
38,BRAZIL,,850.0,855.0,50.0,0.1,1,1,1,SLM,model
39,EUROPE,,865.0,870.0,50.0,0.1,2,1,1,SLM,model
40,EUROPE,,890.0,895.0,50.0,0.1,2,1,1,SLM,model
41,EUROPE,restricao_residencia_dados_ue,920.0,925.0,50.0,0.1,2,1,1,SLM,model
42,EUROPE,,930.0,935.0,50.0,0.1,2,1,1,SLM,model
43,EUROPE,,935.0,940.0,50.0,0.1,2,1,1,SLM,model
44,BRAZIL,,945.0,950.0,50.0,0.1,1,1,1,SLM,model
45,USA,,995.0,1000.0,50.0,0.1,15,1,1,SLM,model
46,EUROPE,,1005.0,1010.0,50.0,0.1,2,1,1,SLM,model
47,BRAZIL,,1010.0,1015.0,50.0,0.1,1,1,1,SLM,model
48,BRAZIL,,1035.0,1040.0,50.0,0.1,1,1,1,SLM,model
49,EUROPE,,1055.0,1060.0,50.0,0.1,2,1,1,SLM,model
50,EUROPE,,1065.0,1070.0,50.0,0.1,2,1,1,SLM,model
51,BRAZIL,,1075.0,1080.0,50.0,0.1,1,1,1,SLM,model
52,USA,,1085.0,1090.0,50.0,0.1,15,1,1,SLM,model
53,EUROPE,,1115.0,1120.0,50.0,0.1,2,1,1,SLM,model
54,USA,,1135.0,1140.0,50.0,0.1,15,1,1,SLM,model
55,EUROPE,,1140.0,1145.0,50.0,0.1,2,1,1,SLM,model
56,USA,,1160.0,1165.0,50.0,0.1,15,1,1,SLM,model
57,BRAZIL,restricao_residencia_dados_ue,1165.0,1170.0,50.0,0.1,,0,0,SLM,parse_failure
