task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine,decision_source
1,EUROPE,restricao_residencia_dados_ue,50.0,50.0,3.699,5.0,2,1,1,LLM,model
2,BRAZIL,,60.0,60.0,3.672,5.0,1,1,1,LLM,model
3,BRAZIL,,90.0,90.0,3.676,5.0,1,1,1,LLM,model
4,EUROPE,,95.0,95.0,3.672,5.0,2,1,1,LLM,model
5,EUROPE,,115.0,115.0,3.672,5.0,2,1,1,LLM,model
6,USA,,130.0,130.0,3.672,5.0,15,1,1,LLM,model
7,EUROPE,,145.0,145.0,3.672,5.0,2,1,1,LLM,model
8,EUROPE,,155.0,155.0,3.672,5.0,2,1,1,LLM,model
9,EUROPE,,165.0,165.0,3.672,5.0,2,1,1,LLM,model
10,BRAZIL,,170.0,170.0,3.672,5.0,1,1,1,LLM,model
11,USA,,175.0,175.0,3.672,5.0,15,1,1,LLM,model
12,USA,,190.0,190.0,3.672,5.0,15,1,1,LLM,model
13,USA,,200.0,200.0,3.672,5.0,,0,1,LLM,model
14,USA,,240.0,240.0,3.672,5.0,15,1,1,LLM,model
15,EUROPE,,250.0,250.0,3.672,5.0,2,1,1,LLM,model
16,USA,,300.0,300.0,3.672,5.0,15,1,1,LLM,model
17,BRAZIL,,320.0,320.0,3.672,5.0,1,1,1,LLM,model
18,USA,,335.0,335.0,3.672,5.0,15,1,1,LLM,model
19,USA,,355.0,355.0,3.672,5.0,15,1,1,LLM,model
20,EUROPE,,365.0,365.0,3.672,5.0,2,1,1,LLM,model
21,USA,,375.0,375.0,3.673,5.0,15,1,1,LLM,model
22,EUROPE,,405.0,405.0,3.672,5.0,2,1,1,LLM,model
23,EUROPE,,420.0,420.0,3.672,5.0,2,1,1,LLM,model
24,EUROPE,,430.0,430.0,3.671,5.0,2,1,1,LLM,model
25,USA,,445.0,445.0,3.671,5.0,15,1,1,LLM,model
26,EUROPE,,455.0,455.0,3.672,5.0,,0,1,LLM,model
27,EUROPE,,465.0,465.0,3.672,5.0,2,1,1,LLM,model
28,USA,restricao_hipaa_eua,490.0,490.0,3.69,5.0,15,1,1,LLM,model
29,BRAZIL,,580.0,580.0,3.672,5.0,1,1,1,LLM,model
30,USA,,585.0,585.0,3.673,5.0,15,1,1,LLM,model
31,EUROPE,,625.0,625.0,3.672,5.0,2,1,1,LLM,model
32,EUROPE,,630.0,630.0,3.671,5.0,2,1,1,LLM,model
33,EUROPE,,635.0,635.0,3.671,5.0,2,1,1,LLM,model
34,USA,,640.0,640.0,3.672,5.0,15,1,1,LLM,model
35,BRAZIL,restricao_residencia_dados_ue,645.0,645.0,3.688,5.0,2,1,1,LLM,model
36,BRAZIL,,665.0,665.0,3.672,5.0,1,1,1,LLM,model
37,BRAZIL,,695.0,695.0,3.672,5.0,1,1,1,LLM,model
38,USA,restricao_hipaa_eua,715.0,715.0,3.685,5.0,15,1,1,LLM,model
39,BRAZIL,,720.0,720.0,3.672,5.0,1,1,1,LLM,model
40,EUROPE,,735.0,735.0,3.672,5.0,2,1,1,LLM,model
41,BRAZIL,,745.0,745.0,3.672,5.0,1,1,1,LLM,model
42,EUROPE,,770.0,770.0,3.672,5.0,2,1,1,LLM,model
43,EUROPE,,795.0,795.0,3.672,5.0,2,1,1,LLM,model
44,BRAZIL,,805.0,805.0,3.672,5.0,1,1,1,LLM,model
45,BRAZIL,,815.0,815.0,3.672,5.0,1,1,1,LLM,model
46,BRAZIL,,850.0,850.0,3.672,5.0,1,1,1,LLM,model
47,USA,,860.0,860.0,3.672,5.0,15,1,1,LLM,model
48,BRAZIL,,910.0,910.0,3.672,5.0,,0,1,LLM,model
49,BRAZIL,,920.0,920.0,3.672,5.0,1,1,1,LLM,model
50,BRAZIL,restricao_hipaa_eua,925.0,925.0,3.686,5.0,15,1,1,LLM,model
51,USA,,930.0,930.0,3.672,5.0,15,1,1,LLM,model
52,EUROPE,restricao_hipaa_eua,970.0,970.0,3.684,5.0,15,1,1,LLM,model
53,USA,,975.0,975.0,3.672,5.0,15,1,1,LLM,model
54,USA,,990.0,990.0,3.672,5.0,15,1,1,LLM,model
55,BRAZIL,,1010.0,1010.0,3.672,5.0,1,1,1,LLM,model
56,BRAZIL,falha_bateria_celula_critica,1025.0,1025.0,3.686,5.0,,0,1,LLM,model
57,USA,restricao_residencia_dados_ue,1030.0,1030.0,3.683,5.0,2,1,1,LLM,model
58,BRAZIL,,1035.0,1035.0,3.672,5.0,1,1,1,LLM,model
59,USA,,1040.0,1040.0,3.672,5.0,15,1,1,LLM,model
60,USA,,1050.0,1050.0,3.672,5.0,15,1,1,LLM,model
61,EUROPE,,1090.0,1090.0,3.673,5.0,,0,1,LLM,model
62,USA,,1100.0,1100.0,3.673,5.0,15,1,1,LLM,model
63,USA,,1105.0,1105.0,3.673,5.0,15,1,1,LLM,model
64,BRAZIL,,1110.0,1110.0,3.673,5.0,1,1,1,LLM,model
65,USA,,1120.0,1120.0,3.673,5.0,15,1,1,LLM,model
66,BRAZIL,,1135.0,1135.0,3.672,5.0,1,1,1,LLM,model
67,BRAZIL,,1145.0,1145.0,3.672,5.0,1,1,1,LLM,model
68,BRAZIL,,1150.0,1150.0,3.673,5.0,1,1,1,LLM,model
69,BRAZIL,,1170.0,1170.0,3.673,5.0,1,1,1,LLM,model
70,USA,,1180.0,1180.0,3.672,5.0,15,1,1,LLM,model
71,BRAZIL,,1195.0,1195.0,3.673,5.0,1,1,1,LLM,model
