task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine,decision_source
1,USA,,10.0,15.0,50.0,0.1,15,1,1,SLM,model
2,BRAZIL,,45.0,50.0,50.0,0.1,1,1,1,SLM,model
3,BRAZIL,,80.0,85.0,50.0,0.1,1,1,1,SLM,model
4,BRAZIL,,95.0,100.0,50.0,0.1,1,1,1,SLM,model
5,USA,,115.0,120.0,50.0,0.1,15,1,1,SLM,model
6,BRAZIL,,120.0,125.0,50.0,0.1,1,1,1,SLM,model
7,EUROPE,,135.0,140.0,50.0,0.1,2,1,1,SLM,model
8,USA,,160.0,165.0,50.0,0.1,15,1,1,SLM,model
9,BRAZIL,,165.0,170.0,50.0,0.1,1,1,1,SLM,model
10,USA,restricao_itar_eua,185.0,190.0,50.0,0.1,15,1,1,SLM,model
11,USA,,225.0,230.0,50.0,0.1,15,1,1,SLM,model
12,EUROPE,falha_bateria_celula_critica,230.0,235.0,50.0,0.1,,0,1,SLM,model
13,USA,,235.0,240.0,50.0,0.1,15,1,1,SLM,model
14,USA,,240.0,245.0,50.0,0.1,15,1,1,SLM,model
15,USA,,245.0,250.0,50.0,0.1,15,1,1,SLM,model
16,EUROPE,,260.0,265.0,50.0,0.1,2,1,1,SLM,model
17,BRAZIL,,265.0,270.0,50.0,0.1,1,1,1,SLM,model
18,BRAZIL,,270.0,275.0,50.0,0.1,1,1,1,SLM,model
19,USA,,310.0,315.0,50.0,0.1,15,1,1,SLM,model
20,BRAZIL,,330.0,335.0,50.0,0.1,1,1,1,SLM,model
21,USA,,335.0,340.0,50.0,0.1,15,1,1,SLM,model
22,USA,,340.0,345.0,50.0,0.1,15,1,1,SLM,model
23,BRAZIL,,345.0,350.0,50.0,0.1,1,1,1,SLM,model
24,BRAZIL,,440.0,445.0,50.0,0.1,1,1,1,SLM,model
25,BRAZIL,,490.0,495.0,50.0,0.1,1,1,1,SLM,model
26,USA,,495.0,500.0,50.0,0.1,15,1,1,SLM,model
27,EUROPE,restricao_itar_eua,510.0,515.0,50.0,0.1,,0,0,SLM,parse_failure
28,EUROPE,,515.0,520.0,50.0,0.1,2,1,1,SLM,model
29,BRAZIL,,520.0,525.0,50.0,0.1,1,1,1,SLM,model
30,USA,,545.0,550.0,50.0,0.1,15,1,1,SLM,model
31,BRAZIL,,550.0,555.0,50.0,0.1,1,1,1,SLM,model
32,EUROPE,,555.0,560.0,50.0,0.1,2,1,1,SLM,model
33,USA,falha_bateria_celula_critica,565.0,570.0,50.0,0.1,,0,1,SLM,model
34,EUROPE,,590.0,595.0,50.0,0.1,2,1,1,SLM,model
35,BRAZIL,,610.0,615.0,50.0,0.1,1,1,1,SLM,model
36,BRAZIL,,620.0,625.0,50.0,0.1,1,1,1,SLM,model
37,USA,,630.0,635.0,50.0,0.1,15,1,1,SLM,model
38,EUROPE,,640.0,645.0,50.0,0.1,2,1,1,SLM,model
39,BRAZIL,restricao_hipaa_eua,670.0,675.0,50.0,0.1,,0,0,SLM,parse_failure
40,BRAZIL,,675.0,680.0,50.0,0.1,1,1,1,SLM,model
41,BRAZIL,,680.0,685.0,50.0,0.1,1,1,1,SLM,model
42,BRAZIL,restricao_itar_eua,705.0,710.0,50.0,0.1,,0,0,SLM,parse_failure
43,USA,,715.0,720.0,50.0,0.1,15,1,1,SLM,model
44,EUROPE,,765.0,770.0,50.0,0.1,2,1,1,SLM,model
45,USA,,770.0,775.0,50.0,0.1,15,1,1,SLM,model
46,EUROPE,,785.0,790.0,50.0,0.1,2,1,1,SLM,model
47,EUROPE,,810.0,815.0,50.0,0.1,2,1,1,SLM,model
48,USA,,825.0,830.0,50.0,0.1,15,1,1,SLM,model
49,BRAZIL,,865.0,870.0,50.0,0.1,1,1,1,SLM,model
50,EUROPE,,890.0,895.0,50.0,0.1,2,1,1,SLM,model
51,EUROPE,,915.0,920.0,50.0,0.1,2,1,1,SLM,model
52,USA,,925.0,930.0,50.0,0.1,15,1,1,SLM,model
53,USA,,930.0,935.0,50.0,0.1,15,1,1,SLM,model
54,BRAZIL,,935.0,940.0,50.0,0.1,1,1,1,SLM,model
55,USA,,950.0,955.0,50.0,0.1,15,1,1,SLM,model
56,USA,,960.0,965.0,50.0,0.1,15,1,1,SLM,model
57,EUROPE,,985.0,990.0,50.0,0.1,2,1,1,SLM,model
58,BRAZIL,,1035.0,1040.0,50.0,0.1,1,1,1,SLM,model
59,BRAZIL,,1040.0,1045.0,50.0,0.1,1,1,1,SLM,model
60,EUROPE,,1045.0,1050.0,50.0,0.1,2,1,1,SLM,model
61,BRAZIL,,1065.0,1070.0,50.0,0.1,1,1,1,SLM,model
62,USA,,1075.0,1080.0,50.0,0.1,15,1,1,SLM,model
63,USA,,1090.0,1095.0,50.0,0.1,15,1,1,SLM,model
64,BRAZIL,falha_bateria_celula_critica,1105.0,1110.0,50.0,0.1,,0,1,SLM,model
65,BRAZIL,,1115.0,1120.0,50.0,0.1,1,1,1,SLM,model
66,BRAZIL,restricao_itar_eua,1130.0,1135.0,50.0,0.1,,0,0,SLM,parse_failure
67,USA,,1145.0,1150.0,50.0,0.1,15,1,1,SLM,model
68,BRAZIL,restricao_itar_eua,1165.0,1170.0,50.0,0.1,1,1,0,SLM,model
69,EUROPE,,1170.0,1175.0,50.0,0.1,2,1,1,SLM,model
