task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine,decision_source
1,EUROPE,,30.0,30.0,3.674,5.0,2,1,1,LLM,model
2,USA,,35.0,35.0,3.672,5.0,15,1,1,LLM,model
3,BRAZIL,,60.0,60.0,3.672,5.0,1,1,1,LLM,model
4,EUROPE,,75.0,75.0,3.672,5.0,2,1,1,LLM,model
5,EUROPE,,80.0,80.0,3.672,5.0,2,1,1,LLM,model
6,EUROPE,,85.0,85.0,3.671,5.0,,0,1,LLM,model
7,EUROPE,,110.0,110.0,3.672,5.0,2,1,1,LLM,model
8,EUROPE,,130.0,130.0,3.672,5.0,2,1,1,LLM,model
9,BRAZIL,,140.0,140.0,3.672,5.0,1,1,1,LLM,model
10,EUROPE,,155.0,155.0,3.672,5.0,2,1,1,LLM,model
11,EUROPE,,165.0,165.0,3.672,5.0,2,1,1,LLM,model
12,USA,falha_calibracao_sensor_termico,190.0,190.0,3.695,5.0,,0,1,LLM,model
13,EUROPE,,220.0,220.0,3.672,5.0,2,1,1,LLM,model
14,USA,,235.0,235.0,3.672,5.0,15,1,1,LLM,model
15,EUROPE,,245.0,245.0,3.672,5.0,2,1,1,LLM,model
16,EUROPE,,250.0,250.0,3.672,5.0,2,1,1,LLM,model
17,BRAZIL,,275.0,275.0,3.672,5.0,1,1,1,LLM,model
18,EUROPE,,280.0,280.0,3.672,5.0,2,1,1,LLM,model
19,USA,,375.0,375.0,3.672,5.0,15,1,1,LLM,model
20,BRAZIL,,385.0,385.0,3.672,5.0,1,1,1,LLM,model
21,BRAZIL,,425.0,425.0,3.672,5.0,1,1,1,LLM,model
22,BRAZIL,falha_bateria_celula_critica,440.0,440.0,3.687,5.0,,0,1,LLM,model
23,BRAZIL,,450.0,450.0,3.673,5.0,1,1,1,LLM,model
24,BRAZIL,,480.0,480.0,3.672,5.0,1,1,1,LLM,model
25,BRAZIL,,485.0,485.0,3.671,5.0,1,1,1,LLM,model
26,BRAZIL,restricao_residencia_dados_ue,490.0,490.0,3.687,5.0,2,1,1,LLM,model
27,EUROPE,,525.0,525.0,3.672,5.0,2,1,1,LLM,model
28,EUROPE,,535.0,535.0,3.672,5.0,2,1,1,LLM,model
29,EUROPE,,565.0,565.0,3.672,5.0,2,1,1,LLM,model
30,EUROPE,,580.0,580.0,3.671,5.0,2,1,1,LLM,model
31,EUROPE,,590.0,590.0,3.671,5.0,2,1,1,LLM,model
32,EUROPE,restricao_lgpd_brasil,630.0,630.0,3.69,5.0,1,1,1,LLM,model
33,USA,,635.0,635.0,3.672,5.0,15,1,1,LLM,model
34,BRAZIL,,640.0,640.0,3.671,5.0,,0,1,LLM,model
35,USA,,660.0,660.0,3.672,5.0,15,1,1,LLM,model
36,BRAZIL,,670.0,670.0,3.672,5.0,1,1,1,LLM,model
37,BRAZIL,,700.0,700.0,3.671,5.0,1,1,1,LLM,model
38,EUROPE,,720.0,720.0,3.671,5.0,2,1,1,LLM,model
39,BRAZIL,,725.0,725.0,3.671,5.0,1,1,1,LLM,model
40,BRAZIL,restricao_residencia_dados_ue,755.0,755.0,3.685,5.0,2,1,1,LLM,model
41,BRAZIL,,760.0,760.0,3.671,5.0,1,1,1,LLM,model
42,BRAZIL,,765.0,765.0,3.671,5.0,,0,1,LLM,model
43,EUROPE,falha_bateria_celula_critica,790.0,790.0,3.685,5.0,,0,1,LLM,model
44,EUROPE,restricao_residencia_dados_ue,805.0,805.0,3.686,5.0,2,1,1,LLM,model
45,USA,,825.0,825.0,3.672,5.0,15,1,1,LLM,model
46,BRAZIL,,840.0,840.0,3.672,5.0,1,1,1,LLM,model
47,BRAZIL,,910.0,910.0,3.672,5.0,,0,1,LLM,model
48,EUROPE,,930.0,930.0,3.672,5.0,2,1,1,LLM,model
49,EUROPE,,935.0,935.0,3.671,5.0,2,1,1,LLM,model
50,EUROPE,,940.0,940.0,3.671,5.0,2,1,1,LLM,model
51,BRAZIL,,950.0,950.0,3.672,5.0,1,1,1,LLM,model
52,BRAZIL,,960.0,960.0,3.671,5.0,1,1,1,LLM,model
53,USA,,970.0,970.0,3.672,5.0,15,1,1,LLM,model
54,USA,,980.0,980.0,3.672,5.0,15,1,1,LLM,model
55,USA,falha_calibracao_sensor_termico,985.0,985.0,3.685,5.0,,0,1,LLM,model
56,EUROPE,,990.0,990.0,3.672,5.0,2,1,1,LLM,model
57,EUROPE,,995.0,995.0,3.671,5.0,2,1,1,LLM,model
58,EUROPE,,1010.0,1010.0,3.671,5.0,2,1,1,LLM,model
59,EUROPE,,1045.0,1045.0,3.671,5.0,2,1,1,LLM,model
60,EUROPE,,1055.0,1055.0,3.671,5.0,2,1,1,LLM,model
61,USA,,1060.0,1060.0,3.672,5.0,15,1,1,LLM,model
62,BRAZIL,,1065.0,1065.0,3.671,5.0,1,1,1,LLM,model
63,EUROPE,,1085.0,1085.0,3.672,5.0,2,1,1,LLM,model
64,EUROPE,,1090.0,1090.0,3.672,5.0,2,1,1,LLM,model
65,EUROPE,,1115.0,1115.0,3.671,5.0,2,1,1,LLM,model
66,EUROPE,,1120.0,1120.0,3.671,5.0,2,1,1,LLM,model
67,EUROPE,,1155.0,1155.0,3.671,5.0,2,1,1,LLM,model
68,BRAZIL,,1160.0,1160.0,3.671,5.0,1,1,1,LLM,model
69,BRAZIL,,1190.0,1190.0,3.672,5.0,1,1,1,LLM,model
