task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine,decision_source
1,EUROPE,,5.0,5.0,15407.758,5.0,2,1,1,LLM,model
2,USA,,10.0,10.0,20993.116,5.0,15,1,1,LLM,model
3,EUROPE,restricao_residencia_dados_ue,30.0,30.0,1931.625,5.0,2,1,1,LLM,model
4,USA,,65.0,65.0,17427.704,5.0,15,1,1,LLM,model
5,EUROPE,,90.0,90.0,16585.376,5.0,2,1,1,LLM,model
6,USA,,115.0,115.0,3278.638,5.0,15,1,1,LLM,model
7,BRAZIL,,125.0,125.0,5122.714,5.0,1,1,1,LLM,model
8,EUROPE,,130.0,130.0,3585.287,5.0,2,1,1,LLM,model
9,EUROPE,,185.0,185.0,19616.586,5.0,2,1,1,LLM,model
10,EUROPE,,210.0,210.0,2202.398,5.0,2,1,1,LLM,model
11,EUROPE,,220.0,220.0,10442.205,5.0,2,1,1,LLM,model
12,EUROPE,,270.0,270.0,4607.993,5.0,2,1,1,LLM,model
13,EUROPE,,310.0,310.0,3072.966,5.0,2,1,1,LLM,model
14,EUROPE,,325.0,325.0,445372.646,5.0,,0,1,LLM,api_failure
15,EUROPE,,350.0,350.0,26172.961,5.0,2,1,1,LLM,model
16,EUROPE,,365.0,365.0,8599.752,5.0,2,1,1,LLM,model
17,BRAZIL,,405.0,405.0,6348.971,5.0,1,1,1,LLM,model
18,USA,,460.0,460.0,9932.994,5.0,15,1,1,LLM,model
19,EUROPE,,470.0,470.0,4156.857,5.0,2,1,1,LLM,model
20,USA,,495.0,495.0,3834.693,5.0,15,1,1,LLM,model
21,EUROPE,,505.0,505.0,32871.386,5.0,2,1,1,LLM,model
22,BRAZIL,,530.0,530.0,6760.714,5.0,1,1,1,LLM,model
23,BRAZIL,,535.0,535.0,31848.569,5.0,1,1,1,LLM,model
24,EUROPE,,545.0,545.0,255075.154,5.0,2,1,1,LLM,model
25,EUROPE,,555.0,555.0,4518.243,5.0,2,1,1,LLM,model
26,USA,,570.0,570.0,15147.64,5.0,15,1,1,LLM,model
27,BRAZIL,,575.0,575.0,98002.945,5.0,1,1,1,LLM,model
28,USA,,615.0,615.0,3166.15,5.0,15,1,1,LLM,model
29,EUROPE,,625.0,625.0,55809.873,5.0,2,1,1,LLM,model
30,USA,,665.0,665.0,39021.268,5.0,15,1,1,LLM,model
31,USA,,685.0,685.0,4613.57,5.0,15,1,1,LLM,model
32,EUROPE,,735.0,735.0,3472.53,5.0,2,1,1,LLM,model
33,EUROPE,,740.0,740.0,38301.298,5.0,2,1,1,LLM,model
34,USA,,785.0,785.0,21379.77,5.0,15,1,1,LLM,model
35,EUROPE,,800.0,800.0,72931.547,5.0,2,1,1,LLM,model
36,USA,restricao_lgpd_brasil,830.0,830.0,61749.519,5.0,1,1,1,LLM,model
37,USA,,845.0,845.0,18591.88,5.0,15,1,1,LLM,model
38,BRAZIL,,850.0,850.0,8649.241,5.0,1,1,1,LLM,model
39,EUROPE,,865.0,865.0,47308.669,5.0,2,1,1,LLM,model
40,EUROPE,,890.0,890.0,15519.569,5.0,2,1,1,LLM,model
41,EUROPE,restricao_residencia_dados_ue,920.0,920.0,4253.75,5.0,2,1,1,LLM,model
42,EUROPE,,930.0,930.0,479244.113,5.0,,0,1,LLM,api_failure
43,EUROPE,,935.0,935.0,34272.655,5.0,2,1,1,LLM,model
44,BRAZIL,,945.0,945.0,33971.547,5.0,1,1,1,LLM,model
45,USA,,995.0,995.0,457055.253,5.0,,0,1,LLM,api_failure
46,EUROPE,,1005.0,1005.0,39076.516,5.0,2,1,1,LLM,model
47,BRAZIL,,1010.0,1010.0,245498.395,5.0,1,1,1,LLM,model
48,BRAZIL,,1035.0,1035.0,73959.331,5.0,1,1,1,LLM,model
49,EUROPE,,1055.0,1055.0,17875.22,5.0,2,1,1,LLM,model
50,EUROPE,,1065.0,1065.0,485256.382,5.0,,0,1,LLM,api_failure
51,BRAZIL,,1075.0,1075.0,314422.835,5.0,1,1,1,LLM,model
52,USA,,1085.0,1085.0,97995.53,5.0,15,1,1,LLM,model
53,EUROPE,,1115.0,1115.0,523133.044,5.0,,0,1,LLM,api_failure
54,USA,,1135.0,1135.0,543037.427,5.0,,0,1,LLM,api_failure
55,EUROPE,,1140.0,1140.0,542502.263,5.0,,0,1,LLM,api_failure
56,USA,,1160.0,1160.0,543183.542,5.0,,0,1,LLM,api_failure
57,BRAZIL,restricao_residencia_dados_ue,1165.0,1165.0,543268.811,5.0,,0,0,LLM,api_failure
58,BRAZIL,,1195.0,1195.0,543851.122,5.0,,0,1,LLM,api_failure
